side,entry_bar,exit_bar,entry_price,exit_price,pnl,reason,entry_dt,exit_dt,month
L,107,131,3226.34,3173.48,-69.53556041830697,MH,2024-04-22 14:00:00,2024-04-23 14:00:00,2024-04
L,264,271,3342.97,3225.9660499999995,-144.0000000000003,SL,2024-04-29 03:00:00,2024-04-29 10:00:00,2024-04
S,303,327,3046.14,2892.99,197.10697472867312,MH,2024-04-30 18:00:00,2024-05-01 18:00:00,2024-05
S,611,613,2874.28,2974.8798,-143.99999999999994,SL,2024-05-13 14:00:00,2024-05-13 16:00:00,2024-05
L,792,816,3147.05,3715.14,718.0603422252581,MH,2024-05-21 03:00:00,2024-05-22 03:00:00,2024-05
L,957,969,3966.12,3827.3057999999996,-144.00000000000026,SL,2024-05-28 00:00:00,2024-05-28 12:00:00,2024-05
S,1224,1248,3681.0,3683.31,-6.510187449062695,MH,2024-06-08 03:00:00,2024-06-09 03:00:00,2024-06
S,1308,1332,3541.89,3526.99,12.827174192309858,MH,2024-06-11 15:00:00,2024-06-12 15:00:00,2024-06
S,1623,1647,3307.0,3376.32,-87.84638645297872,MH,2024-06-24 18:00:00,2024-06-25 18:00:00,2024-06
L,1783,1807,3517.58,3450.0,-80.84828774327796,MH,2024-07-01 10:00:00,2024-07-02 10:00:00,2024-07
S,1855,1879,3209.31,2926.66,348.2875633703196,MH,2024-07-04 10:00:00,2024-07-05 10:00:00,2024-07
L,2115,2139,3253.19,3471.49,264.4134649374918,MH,2024-07-15 06:00:00,2024-07-16 06:00:00,2024-07
L,2286,2310,3541.9,3479.9,-74.01891640080183,MH,2024-07-22 09:00:00,2024-07-23 09:00:00,2024-07
S,2361,2385,3166.41,3253.03,-113.42360591332184,MH,2024-07-25 12:00:00,2024-07-26 12:00:00,2024-07
S,2564,2588,3036.44,2940.49,122.39801873246338,MH,2024-08-02 23:00:00,2024-08-03 23:00:00,2024-08
S,2614,2638,2809.99,2468.44,482.1939010459108,MH,2024-08-05 01:00:00,2024-08-06 01:00:00,2024-08
L,3094,3118,2812.7,2770.17,-64.48281011128061,MH,2024-08-25 01:00:00,2024-08-26 01:00:00,2024-08
S,3171,3195,2489.24,2531.0,-71.10481914158574,MH,2024-08-28 06:00:00,2024-08-29 06:00:00,2024-08
S,3343,3355,2364.97,2447.7439499999996,-143.99999999999963,SL,2024-09-04 10:00:00,2024-09-04 22:00:00,2024-09
L,3718,3742,2471.23,2535.99,100.82229497052037,MH,2024-09-20 01:00:00,2024-09-21 01:00:00,2024-09
L,3800,3824,2634.48,2626.5,-16.116243053657676,MH,2024-09-23 11:00:00,2024-09-24 11:00:00,2024-09
S,4006,4030,2508.49,2445.8,95.96452048842069,MH,2024-10-02 01:00:00,2024-10-03 01:00:00,2024-10
L,4306,4330,2541.48,2594.7,79.76221729071217,MH,2024-10-14 13:00:00,2024-10-15 13:00:00,2024-10
L,4468,4492,2747.27,2666.63,-121.41110265827511,MH,2024-10-21 07:00:00,2024-10-22 07:00:00,2024-10
S,4827,4843,2370.29,2453.25015,-143.9999999999998,SL,2024-11-05 06:00:00,2024-11-05 22:00:00,2024-11
L,4876,4900,2736.26,2895.76,229.1649770124184,MH,2024-11-07 07:00:00,2024-11-08 07:00:00,2024-11
L,4990,5014,3280.26,3230.76,-64.36106893965722,MH,2024-11-12 01:00:00,2024-11-13 01:00:00,2024-11
L,5276,5296,3475.07,3353.44255,-143.99999999999994,SL,2024-11-23 23:00:00,2024-11-24 19:00:00,2024-11
L,5320,5324,3504.57,3381.91005,-144.00000000000023,SL,2024-11-25 19:00:00,2024-11-25 23:00:00,2024-11
L,5540,5564,3781.44,3890.78,111.6596428873658,MH,2024-12-04 23:00:00,2024-12-05 23:00:00,2024-12
L,5831,5855,4033.64,3929.56,-107.21198718775095,MH,2024-12-17 02:00:00,2024-12-18 02:00:00,2024-12
S,5905,5929,3438.98,3438.92,-3.9302118651461244,MH,2024-12-20 04:00:00,2024-12-21 04:00:00,2024-12
L,6261,6285,3564.32,3621.0,59.60820577276994,MH,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01
L,6323,6347,3679.63,3671.51,-12.826974451235467,MH,2025-01-06 14:00:00,2025-01-07 14:00:00,2025-01
S,6383,6407,3262.11,3259.18,-0.4072333550980307,MH,2025-01-09 02:00:00,2025-01-10 02:00:00,2025-01
S,6495,6519,3155.0,3233.88,-104.00633914421567,MH,2025-01-13 18:00:00,2025-01-14 18:00:00,2025-01
S,6827,6851,3139.76,3193.38,-72.31095370346763,MH,2025-01-27 14:00:00,2025-01-28 14:00:00,2025-01
S,6982,7006,3014.71,2705.14,406.7459755664726,MH,2025-02-03 01:00:00,2025-02-04 01:00:00,2025-02
L,7340,7341,2825.54,2726.6461,-144.00000000000003,SL,2025-02-17 23:00:00,2025-02-18 00:00:00,2025-02
S,7516,7540,2506.66,2494.45,15.484094372591475,MH,2025-02-25 07:00:00,2025-02-26 07:00:00,2025-02
S,7687,7699,2055.65,2127.59775,-143.99999999999963,SL,2025-03-04 10:00:00,2025-03-04 22:00:00,2025-03
S,7847,7871,1916.68,1951.9,-77.50209737671396,MH,2025-03-11 02:00:00,2025-03-12 02:00:00,2025-03
L,8174,8198,2089.51,2069.11,-43.05221798412085,MH,2025-03-24 17:00:00,2025-03-25 17:00:00,2025-03
S,8297,8321,1843.72,1833.15,18.931898552925468,MH,2025-03-29 20:00:00,2025-03-30 20:00:00,2025-03
S,8418,8428,1758.57,1820.1199499999998,-143.99999999999966,SL,2025-04-03 21:00:00,2025-04-04 07:00:00,2025-04
S,8494,8518,1730.24,1565.28,377.35749953763644,MH,2025-04-07 01:00:00,2025-04-08 01:00:00,2025-04
